,lemat,emocje,stopien_nacechowania
2,abstrakcyjny,wstręt;złość;zaskoczenie,- s
3,abstrakcyjny,wstręt;złość,- s
10,adorator,złość;radość,amb
11,adorator,złość;cieszenie się na;radość;wstręt,amb
18,afektowany,złość;smutek,- s
19,afektowany,złość;smutek,- s
20,afera,wstręt;złość;zaskoczenie,- m
21,afera,wstręt;złość;zaskoczenie,- m
32,agonia,smutek;,- s
33,agonia,smutek;,- s
34,agresja,smutek;złość;strach;wstręt;,- m
35,agresja,złość;,- m
36,agresywność,smutek;złość;strach;wstręt;,- m
37,agresywność,złość;,- m
38,agresywny,złość;strach,- m
39,agresywny,złość;strach,- m
48,akceptowalny,zaufanie;smutek,amb
49,akceptowalny,zaufanie;smutek,amb
60,aktorzyna,wstręt;złość,- m
61,aktorzyna,wstręt;złość,- m
64,aktywista,radość;złość;,amb
66,aktywista,radość;wstręt;,amb
78,aleja sztywnych,strach;wstręt;,- m
81,alienacja,smutek;,- s
82,alienacja,smutek;złość;,- s
83,alma mater,zaufanie;,+ s
88,aluzyjny,złość;,- s
97,ambicja,złość;radość,amb
98,ambicja,złość;radość,amb
99,pragnienie,złość;cieszenie się na;radość,amb
100,pragnienie,cieszenie się na;złość,amb
101,ambitny,cieszenie się na;radość,+ m
102,ambitny,cieszenie się na;radość,+ s
103,ambitny,cieszenie się na;radość,+ s
114,anioł,radość;,+ m
115,anioł,radość;,+ m
116,antagonizm,wstręt;złość;strach,- m
117,antagonizm,wstręt;złość,- m
126,antypatia,wstręt;złość;strach,- m
127,antypatia,wstręt;złość,- m
130,apatyczny,smutek;,- s
131,apatyczny,smutek;,- s
134,apetyczny,cieszenie się na;radość,+ s
135,apetyczny,cieszenie się na;radość,+ s
139,aprobujący,radość;zaufanie;,+ s
146,archaiczny,wstręt;smutek,- s
147,archaiczny,wstręt;złość;smutek,- s
168,arogancki,złość;smutek,- m
169,arogancki,wstręt;złość,- m
174,arystokratyczny,radość;,+ s
175,arystokratyczny,radość;,+ s
176,as,zaufanie;radość,+ m
177,as,zaufanie;radość,+ m
181,asysta,zaufanie;,+ s
185,atakować,smutek;,- m
187,atakujący,zaufanie;,amb
188,atmosfera,cieszenie się na;radość;smutek,amb
189,atmosfera,radość;smutek;strach,amb
194,atrakcja,radość;cieszenie się na coś oczekiwanego;,+ s
195,atrakcja,radość;,+ s
196,atrakcyjny,radość;,+ m
197,atrakcyjny,radość;,+ m
206,autentyczny,radość;,+ m
207,autentyczny,zaufanie;radość,+ m
208,autentyzm,radość;zaufanie;,+ s
209,autentyzm,radość;zaufanie;,+ s
212,autonomia,radość;zaufanie;,+ s
213,autonomia,zaufanie;,+ s
214,autonomiczny,radość;,+ s
215,autonomiczny,radość;,+ s
220,autorytet,zaufanie;,+ m
221,autorytet,zaufanie;radość,+ m
224,awantura,wstręt;złość,- m
225,awantura,wstręt;złość,- m
226,awanturnictwo,złość;zaskoczenie,- m
